id;login;album_spotify_id;rank;comment
1;user;5vBZRYu2GLA65nfxBvG1a7;1;
2;user;1YZWEKi3WAzSk6IGnObgUO;2;
3;user;35UJLpClj5EDrhpNIi4DFg;3;
4;user;7GgjqODlA8ueYcDPu6IBv6;4;
5;user;7wvOewuyOTcqyE5Xog0dp8;5;
6;user;0DQyTVcDhK9wm0f6RaErWO;6;
7;user;3L8K0FWsWGSHvYj56skH00;7;
8;user;5Qcef60m4gcckV24PmPYVq;8;
9;user;5w4IN5bPXAQD5iAVPNqvMg;9;
10;user;1LTbo93CjLo48yNP8Ysaz5;10;
11;user;6S9YaGXnmRe8tWJ0e457HP;11;
12;user;4LaRYkT4oy47wEuQgkLBul;12;
13;user;1HMheOIOa8jKsFPA4ZkFHf;13;
14;user;2fuGLrZ4Ju22UpWqGg5cDW;14;
15;user;6Awz0VieVLLCsWqQbKVgph;15;
16;user;1Xw1AVdxGxxRF8wq5sMJTC;16;
17;user;7giqzAVDOPXlU9lnP4wxzW;17;
18;user;0hBWhJEmVyNPG2Jq71CJXz;18;
19;user;7CNB1ZoUAvRnDZCojHel5e;19;
20;user;0GqpoHJREPp0iuXK3HzrHk;20;
21;user;1JUQFKFEC4ZxguPCKZdb8V;21;
22;user;0oFAjoPnMrg6KYKcvVbXoS;22;
23;user;3fmkucmUt2mrmnCMPRYNAi;23;
24;user;1aCQ7OUfO1P6FbTe8x0s0N;24;
25;user;5MBUL8d9FAYCCMrogOFX68;25;
26;user;55RhFRyQFihIyGf61MgcfV;26;
27;user;4vvGnnUgid9IbTS3sUVYCF;27;
28;user;3icT9XGrBfhlV8BKK4WEGX;28;
29;user;7jfexk2w5aDI25njkN0UGg;29;
30;user;2VkRamHKY9q4WBdmORiDK9;30;
31;user;5oDuISuaY8S7S1wQ18CQdh;31;
32;user;7rjjFxMFZjPzQzBMj6mXr2;32;
33;user;0SJIg249cRWdGWEcqXsYyW;33;
34;user;3539EbNgIdEDGBKkUf4wno;34;
35;user;4tjyDKI7scRXN8DhGMmmCz;35;
36;user;02HgI0NvQiXKJmMRwoYjmu;36;
37;user;3uFZf8rykoHo7XMIQVYW6r;37;
38;user;1YaNnz7y8m8SGIT7cgcmVD;38;
39;user;5G6akYvygKGToUIB863YqU;39;
40;user;4JfQDfKe4N5NCEyMP1mYT6;40;
41;user;2yMg8ronKfVDHngnlLNnl8;41;
42;user;4nGeTqPyaNqihb03NPaWfy;42;
43;user;0HMsmYvoT1h2x1C4di5faf;43;
44;user;1Td5bSMxDrTIDAvxJQIo5t;44;
45;user;7IKUTIc9UWuVngyGPtqNHS;45;
46;user;0W2NohBuSEXfIzJTyUaOp7;46;
47;user;5DPwOvCcqxFeeep1uoSLHx;47;
48;user;2ikq6LspaBbUG2qyiV5qdx;48;
49;user;6ZB8qaR9JNuS0Q0bG1nbcH;49;
50;user;6HhpmJekzDCRu2K64ZbWqw;50;
51;user;474LMHrVODOrsV0TWekohy;51;
52;user;5DiavRKmdRpqdzgBjoNEF3;52;
53;user;6D9urpsOWWKtYvF6PaorGE;53;
54;user;5GwXWdipH3pTWcq4LayApE;54;
55;user;5hoYuQl3lpjq4wSB1m7v7n;55;
56;user;5Yo334sh4LChY785HIPXm9;56;
57;user;5LojzRPtiCJKzDzBzAxNgM;57;
