id;login;album_spotify_id;rank;comment
1;Chair architect;c;9583;b maroon
2;Centralized;Garden;90500;THX optical
3;navigating orchid;Tuna quantifying;29637;program
4;Boétie Égypte Charlemagne;lavender;97114;Borders violet Kyat
5;Rustic systems services;Gorgeous;16623;Beauty open-source actuating
6;distributed connect;capacitor Silver client-driven;59123;copying functionalities whiteboard
7;architectures;revolutionary;14453;Cotton withdrawal hack
8;edge;de Palau Malawi;2518;Hat
9;b;navigate;2554;Chair Account
10;parse multi-byte invoice;Money;696;Technicien Switchable a
